region_acronym,n_neurons,n_sessions,n_probes,n_spikes_spontaneous_median,firing_rate_hz_median,local_variance_lv_median,n_timescales_median,tau_1_ms_median,tau_2_ms_median,tau_3_ms_median,tau_4_ms_median,c_1_median,c_2_median,c_3_median,c_4_median,tau_effective_ms_median,r_squared_median,ci_lower_ms_median,ci_upper_ms_median,bic_1_median,bic_2_median,bic_3_median,bic_4_median,coverage_label
CP,6406,73,78,1352.5,2.3772426990961244,1.1842298331504415,2.0,43.51502338106505,943.5471966272232,2247.0639592003336,2695.907406000345,0.1312576778126019,0.0247636695740707,0.015412904901091,0.0169916694225372,201.02477229785194,0.8189078492660786,166.11439606110162,233.75562044653094,-6068.633313299933,-6286.321227518418,-6293.592544992371,-6273.80593286882,very_high
CA1,5032,125,146,3032.0,5.753519159395343,1.2388133034351685,2.0,19.179405128425408,495.2724924292328,2620.92711908491,,0.2127381146628612,0.02354766507412585,0.0115760861582955,,65.53009107921342,0.7754555054980623,52.67722698533139,77.0531941929304,-6228.5846217141725,-6422.920418283339,-6452.642163630351,-6442.763577753286,very_high
DG,3288,124,146,3198.5,5.903610957680321,1.2846179653022316,2.0,15.686140126101629,310.96564015270354,2789.7659469124173,5027.386423883763,0.2020774786210966,0.02513100660286105,0.011296978066633701,0.00344118814982425,63.99248358224366,0.7320388218243964,50.400664329458266,78.06963232744721,-6213.445068888903,-6391.149251875605,-6410.077473219342,-6373.765350163671,very_high
MOp,2244,34,37,2557.5,4.324435878907871,1.134317710989398,2.0,30.659503231670694,1026.342984110771,2082.9729699556547,5893.767263653255,0.11170664715473269,0.0205295238837521,0.0137149565718894,0.0110636493504674,208.38449571839038,0.7714914028555528,172.95877368671495,244.0208507938147,-6186.148610471472,-6425.415683357512,-6451.385094920863,-6448.417843827134,very_high
MRN,2026,97,111,2106.0,3.8504061512740533,0.9323096013228906,2.0,237.35995060668265,2175.320873892164,3473.907367424216,2146.169311872217,0.0704818836185689,0.0352588235693066,0.0258577791577356,0.15209323499779615,1082.3010553826637,0.8299082280778722,969.5087983291082,1183.102657206102,-5939.411861352673,-6155.598967684927,-6249.322986579165,-6248.611928807284,very_high
PO,1909,46,48,3657.0,6.963936554758126,1.0261026038850165,2.0,29.185983976762508,511.22621865158834,3407.9619818986384,5532.999979999992,0.1128144509069539,0.0247673586068802,0.0124108954469363,0.0318065687432012,218.420166519455,0.7897345602516874,169.53965378987093,265.21894890738827,-6185.224357441236,-6443.599576165475,-6469.8355202184,-6439.106554088513,very_high
CA3,1670,74,78,2897.0,5.485246046843094,1.186325076016133,2.0,20.632284728996716,473.9788122744107,2602.4700318685536,4503.818397977225,0.19076765486725966,0.02393969450177935,0.012003262469623,0.013242037667369751,70.6797363139547,0.7661977702444465,56.8017105452887,84.78394697800516,-6226.171573678042,-6384.33102936579,-6404.795297108907,-6355.426327224495,very_high
SCm,1621,57,63,2447.0,4.329458388497538,0.9939712374206986,2.0,158.66917919306434,1632.473975832022,2954.615917550861,,0.0773889479386977,0.028459448252926102,0.019735373226361,,679.0504856650209,0.8074537869817328,592.7005258108097,758.0220470377203,-6052.679988649597,-6315.518806159611,-6356.832761512351,-6337.480552030307,very_high
LP,1527,63,69,4443.0,8.037253200273259,0.9745249804151476,2.0,56.74526665075692,734.9923365239965,3912.964862267523,3512.472532185713,0.0802977949026657,0.0203656918079096,0.009312812584526,0.04661082313141365,248.45978175916463,0.7543276044874444,213.24687669666585,289.2979066067601,-6307.977988035001,-6480.386518654466,-6517.265351009874,-6509.3974082083805,very_high
MOs,1459,46,51,1962.0,3.65309793305175,1.1621810697923227,2.0,49.05902842377553,1145.9920775883306,2982.0873694092516,3387.518679355531,0.1069319732203168,0.01981218527940565,0.010567956473711851,0.010820989726206149,190.7749763690217,0.7453754985791488,159.49206447430768,221.84023265200528,-6111.901257454208,-6323.96309958378,-6381.78861609103,-6356.928330164151,very_high
APN,1409,44,53,2617.0,4.6594988926273855,0.9794834171166468,2.0,158.80799388422616,1891.835432287059,3218.330382231323,,0.0743877221565148,0.0265996463614862,0.013996838829498301,,632.545186817344,0.8112606125512539,562.1915820527993,711.4977886440577,-6064.969764187497,-6294.090994205807,-6385.772717977705,-6375.333350411176,very_high
